epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0487,0.97396,3.22131,1.12425,0.36717,0.28802,0.27709,0.219,0.91943,2.10039,1.06433,0.067,3.3033e-05,3.3033e-05
2,166.58,0.77483,1.21569,0.99371,0.63561,0.46876,0.49179,0.38881,0.70889,1.07154,0.93747,0.0336934,5.97304e-05,5.97304e-05
3,254.747,0.69878,0.95291,0.95872,0.72153,0.53007,0.59499,0.47961,0.62286,0.84212,0.90313,0.000380062,7.97618e-05,7.97618e-05
4,328.584,0.64985,0.81056,0.92748,0.82022,0.53176,0.62777,0.51625,0.6048,0.75081,0.89279,7.0003e-05,7.0003e-05,7.0003e-05
5,399.607,0.61054,0.69954,0.9126,0.78798,0.59175,0.65604,0.53652,0.58696,0.69539,0.88562,6.0004e-05,6.0004e-05,6.0004e-05
6,471.072,0.598,0.64192,0.90166,0.77779,0.58266,0.65996,0.53435,0.582,0.68635,0.87592,5.0005e-05,5.0005e-05,5.0005e-05
7,541.912,0.57444,0.60219,0.88314,0.81187,0.59723,0.67468,0.54976,0.55997,0.66194,0.86151,4.0006e-05,4.0006e-05,4.0006e-05
8,611.17,0.56219,0.5697,0.88262,0.8043,0.62138,0.69297,0.56193,0.55374,0.60635,0.86605,3.0007e-05,3.0007e-05,3.0007e-05
9,656.066,0.54529,0.5367,0.87314,0.87018,0.59255,0.68781,0.56728,0.53821,0.60424,0.85913,2.0008e-05,2.0008e-05,2.0008e-05
10,700.842,0.52706,0.51526,0.86333,0.838,0.60399,0.69646,0.57392,0.53271,0.59073,0.8542,1.0009e-05,1.0009e-05,1.0009e-05
